dateTime,activities-minutesSedentary,RestHeart,activities-minutesVeryActive,activities-floors,activities-steps,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-startTime
2017-09-30,1063,58,11,7,11932,0,0,0,
2017-10-01,327,59,0,4,3760,453,10,18,00:09
2017-10-02,643,58,5,12,7129,493,0,74,21:44
2017-10-03,617,58,0,4,8128,457,0,56,22:42
2017-10-04,1168,58,30,8,11510,0,0,0,
2017-10-05,742,59,10,12,7756,400,0,86,23:02
2017-10-06,720,58,0,4,6039,426,0,62,23:01
2017-10-07,639,57,1,3,8440,402,0,71,23:26
2017-10-08,774,57,42,11,12186,300,0,0,02:00
2017-10-09,733,57,11,16,8007,410,0,66,23:10
2017-10-10,667,57,0,4,7201,423,0,75,23:03
2017-10-11,657,57,55,14,12834,418,0,63,22:57
2017-10-12,1135,57,34,14,13396,0,0,0,
2017-10-13,632,57,27,9,11622,399,0,60,23:28
2017-10-14,615,57,7,3,11336,409,0,62,23:21
2017-10-15,1066,57,28,19,15807,0,0,0,
2017-10-16,513,58,35,14,15833,420,0,85,23:24
2017-10-17,660,58,4,37,9994,508,19,24,22:52
2017-10-18,1020,58,28,5,17167,0,0,0,
2017-10-19,725,58,6,10,9016,358,0,55,00:34
2017-10-20,722,59,0,10,5736,398,0,73,01:25
2017-10-21,1101,58,8,11,9362,0,0,0,
2017-10-22,1235,58,0,3,4157,0,0,0,
2017-10-23,772,61,20,8,6738,392,0,68,23:32
2017-10-24,647,60,1,4,5888,462,0,64,22:19
2017-10-25,1432,60,0,1,143,0,0,0,
2017-10-26,765,59,3,8,5493,387,0,76,00:02
2017-10-27,616,58,12,7,9202,426,0,65,23:04
2017-10-28,642,58,22,11,13839,426,13,23,23:31
2017-10-29,695,57,0,10,9149,439,23,44,00:20
2017-10-30,777,57,10,11,8440,360,0,46,00:28
2017-10-31,606,60,54,9,12966,393,0,50,23:49
2017-11-01,683,61,57,9,12615,435,0,47,23:10
2017-11-02,707,59,15,15,11143,413,0,61,23:30
2017-11-03,798,59,0,2,4522,384,0,53,23:54
2017-11-04,1007,59,50,8,12892,0,0,0,
2017-11-05,600,60,0,15,6825,430,0,55,00:57
2017-11-06,272,59,2,12,7384,457,10,18,23:18
2017-11-07,626,58,32,7,11552,392,0,52,23:38
2017-11-08,683,59,3,6,8479,417,0,64,23:12
2017-11-09,777,60,50,6,12333,324,0,79,00:08
2017-11-10,762,59,0,3,3440,446,0,71,22:41
2017-11-11,715,60,0,5,6155,371,0,94,23:39
2017-11-12,597,60,13,4,6794,465,0,102,23:23
2017-11-13,692,59,17,15,8255,386,0,70,23:32
2017-11-14,595,58,13,2,11033,418,0,63,23:11
2017-11-15,768,60,0,9,8589,342,0,65,00:24
2017-11-16,675,60,9,9,6236,451,0,66,22:42
2017-11-17,812,60,0,9,4957,383,0,58,23:50
2017-11-18,1156,60,4,5,7082,0,0,0,
2017-11-19,548,60,20,8,9901,448,0,101,22:19
2017-11-20,666,60,12,10,7349,454,0,68,22:48
