Days,Years,Months,date,activities-minutesSedentary,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,activities-steps,sleep-awakeningsCount,RestHeart
Monday,2017,October,2017-10-16,513,35,14,420,15833,0,58
Tuesday,2017,October,2017-10-17,660,4,37,508,9994,19,58
Wednesday,2017,October,2017-10-18,1020,28,5,0,17167,0,58
Thursday,2017,October,2017-10-19,725,6,10,358,9016,0,58
Friday,2017,October,2017-10-20,722,0,10,398,5736,0,59
Saturday,2017,October,2017-10-21,1101,8,11,0,9362,0,58
Sunday,2017,October,2017-10-22,1235,0,3,0,4157,0,58
Monday,2017,October,2017-10-23,772,20,8,392,6738,0,61
Tuesday,2017,October,2017-10-24,647,1,4,462,5888,0,60
Wednesday,2017,October,2017-10-25,1432,0,1,0,143,0,60
Thursday,2017,October,2017-10-26,765,3,8,387,5493,0,59
Friday,2017,October,2017-10-27,616,12,7,426,9202,0,58
Saturday,2017,October,2017-10-28,642,22,11,426,13839,13,58
Sunday,2017,October,2017-10-29,695,0,10,439,9149,23,57
Monday,2017,October,2017-10-30,777,10,11,360,8440,0,57
Tuesday,2017,October,2017-10-31,606,54,9,393,12966,0,60
Wednesday,2017,November,2017-11-01,683,57,9,435,12615,0,61
Thursday,2017,November,2017-11-02,707,15,15,413,11143,0,59
Friday,2017,November,2017-11-03,798,0,2,384,4522,0,59
Saturday,2017,November,2017-11-04,1007,50,8,0,12892,0,59
Sunday,2017,November,2017-11-05,600,0,15,430,6825,0,60
Monday,2017,November,2017-11-06,272,2,12,457,7384,10,59
Tuesday,2017,November,2017-11-07,626,32,7,392,11552,0,58
Wednesday,2017,November,2017-11-08,683,3,6,417,8479,0,59
Thursday,2017,November,2017-11-09,777,50,6,324,12333,0,60
Friday,2017,November,2017-11-10,762,0,3,446,3440,0,59
Saturday,2017,November,2017-11-11,715,0,5,371,6155,0,60
Sunday,2017,November,2017-11-12,597,13,4,465,6794,0,60
Monday,2017,November,2017-11-13,692,17,15,386,8255,0,59
Tuesday,2017,November,2017-11-14,595,13,2,418,11033,0,58
Wednesday,2017,November,2017-11-15,768,0,9,342,8589,0,60
Thursday,2017,November,2017-11-16,675,9,9,451,6236,0,60
Friday,2017,November,2017-11-17,812,0,9,383,4957,0,60
Saturday,2017,November,2017-11-18,1156,4,5,0,7082,0,60
Sunday,2017,November,2017-11-19,548,20,8,448,9901,0,60
Monday,2017,November,2017-11-20,666,12,10,454,7349,0,60
Tuesday,2017,November,2017-11-21,715,3,7,352,7568,0,60
Wednesday,2017,November,2017-11-22,760,22,6,432,8275,11,60
Thursday,2017,November,2017-11-23,1170,34,22,0,9880,0,61
Friday,2017,November,2017-11-24,834,0,3,384,3266,0,60
Saturday,2017,November,2017-11-25,688,1,4,366,9695,0,58
Sunday,2017,November,2017-11-26,1103,36,1,0,9607,0,58
Monday,2017,November,2017-11-27,721,20,11,366,10465,0,59
Tuesday,2017,November,2017-11-28,670,0,9,418,7067,0,58
Wednesday,2017,November,2017-11-29,701,10,12,387,9991,0,58
Thursday,2017,November,2017-11-30,581,0,7,346,3101,0,58
Friday,2017,December,2017-12-01,738,4,14,393,8368,0,58
Saturday,2017,December,2017-12-02,609,9,7,387,10621,0,58
Sunday,2017,December,2017-12-03,633,17,2,419,7896,0,56
Monday,2017,December,2017-12-04,1200,31,12,0,9245,0,56
Tuesday,2017,December,2017-12-05,629,1,5,384,8065,0,55
Wednesday,2017,December,2017-12-06,738,15,11,461,7175,17,55
Thursday,2017,December,2017-12-07,245,39,16,445,11010,11,55
Friday,2017,December,2017-12-08,809,0,6,396,3645,0,56
Saturday,2017,December,2017-12-09,826,0,8,320,4965,0,57
Sunday,2017,December,2017-12-10,49,38,9,510,9197,15,58
Monday,2017,December,2017-12-11,728,18,13,352,8544,0,60
Tuesday,2017,December,2017-12-12,1059,15,7,0,10999,0,59
Wednesday,2017,December,2017-12-13,799,9,13,350,8186,0,57
Thursday,2017,December,2017-12-14,957,27,6,168,8902,0,58
Friday,2017,December,2017-12-15,788,0,2,352,6094,0,59
Saturday,2017,December,2017-12-16,656,35,10,364,11437,0,61
Sunday,2017,December,2017-12-17,662,16,3,388,10954,0,60
Monday,2017,December,2017-12-18,782,7,9,369,8144,0,59
Tuesday,2017,December,2017-12-19,1076,16,11,0,12736,0,59
Wednesday,2017,December,2017-12-20,663,23,17,415,12003,0,58
Thursday,2017,December,2017-12-21,811,20,6,388,6194,0,58
Friday,2017,December,2017-12-22,661,5,8,472,4402,0,56
Saturday,2017,December,2017-12-23,643,8,3,417,10347,0,56
Sunday,2017,December,2017-12-24,645,15,3,468,7430,0,55
Monday,2017,December,2017-12-25,753,0,6,398,3944,0,57
Tuesday,2017,December,2017-12-26,758,0,1,445,3451,0,59
Wednesday,2017,December,2017-12-27,609,0,8,432,9085,0,59
Thursday,2017,December,2017-12-28,573,21,8,466,14510,14,59
Friday,2017,December,2017-12-29,686,0,10,431,5924,0,59
Saturday,2017,December,2017-12-30,725,7,12,412,6846,0,57
Sunday,2017,December,2017-12-31,795,0,10,395,3927,0,57
Monday,2018,January,2018-01-01,685,13,8,365,11825,0,59
Tuesday,2018,January,2018-01-02,620,5,5,360,11664,0,59
Wednesday,2018,January,2018-01-03,458,10,67,470,14501,0,59
Thursday,2018,January,2018-01-04,616,18,7,402,12583,0,59
Friday,2018,January,2018-01-05,1086,7,6,0,10989,0,59
Saturday,2018,January,2018-01-06,545,9,5,443,11431,0,59
Sunday,2018,January,2018-01-07,534,36,6,472,14235,0,60
Monday,2018,January,2018-01-08,729,16,11,422,8258,10,60
Tuesday,2018,January,2018-01-09,639,17,2,387,10461,0,59
Wednesday,2018,January,2018-01-10,770,21,1,386,7401,0,58
Thursday,2018,January,2018-01-11,788,3,10,378,6937,0,56
Friday,2018,January,2018-01-12,766,1,6,483,2930,0,56
Saturday,2018,January,2018-01-13,561,49,3,393,12791,0,56
Sunday,2018,January,2018-01-14,1121,25,4,0,9762,0,57
Monday,2018,January,2018-01-15,738,7,15,362,6084,0,57
Tuesday,2018,January,2018-01-16,713,0,4,466,6521,12,57
Wednesday,2018,January,2018-01-17,700,27,13,413,10470,15,57
Thursday,2018,January,2018-01-18,755,27,45,390,13317,8,57
Friday,2018,January,2018-01-19,776,25,9,382,8127,0,57
Saturday,2018,January,2018-01-20,622,35,1,447,10008,0,56
Sunday,2018,January,2018-01-21,545,18,3,478,10720,16,56
Monday,2018,January,2018-01-22,771,26,8,484,7493,17,57
Tuesday,2018,January,2018-01-23,622,38,8,362,13103,0,58
Wednesday,2018,January,2018-01-24,735,42,21,399,10498,0,59
Thursday,2018,January,2018-01-25,779,27,9,404,7109,0,57
Friday,2018,January,2018-01-26,689,8,3,494,4942,0,58
Saturday,2018,January,2018-01-27,671,0,2,544,1570,0,61
Sunday,2018,January,2018-01-28,837,0,2,333,1561,0,63
Monday,2018,January,2018-01-29,639,8,7,319,5089,0,63
Tuesday,2018,January,2018-01-30,892,0,3,293,4121,0,63
Wednesday,2018,January,2018-01-31,788,0,4,401,4047,0,60
Thursday,2018,February,2018-02-01,1257,0,5,0,3958,0,59
Friday,2018,February,2018-02-02,730,0,4,426,4768,0,57
Saturday,2018,February,2018-02-03,689,9,5,396,9685,0,57
Sunday,2018,February,2018-02-04,640,0,3,526,4873,0,57
Monday,2018,February,2018-02-05,687,41,9,399,10265,0,58
Tuesday,2018,February,2018-02-06,730,0,1,459,6076,12,58
Wednesday,2018,February,2018-02-07,718,29,7,356,10822,0,59
Thursday,2018,February,2018-02-08,771,12,17,394,10350,0,59
Friday,2018,February,2018-02-09,1372,0,7,0,4373,0,59
Saturday,2018,February,2018-02-10,707,0,1,437,8080,9,59
Sunday,2018,February,2018-02-11,696,6,12,415,8579,15,58
Monday,2018,February,2018-02-12,748,20,9,419,7820,7,59
Tuesday,2018,February,2018-02-13,652,21,3,361,9676,0,59
Wednesday,2018,February,2018-02-14,561,7,5,449,10701,0,60
Thursday,2018,February,2018-02-15,1053,19,11,0,9814,0,60
Friday,2018,February,2018-02-16,758,17,15,498,8835,15,60
Saturday,2018,February,2018-02-17,601,4,7,363,11821,12,59
Sunday,2018,February,2018-02-18,546,0,5,559,7124,20,59
Monday,2018,February,2018-02-19,737,62,10,357,13284,0,59
Tuesday,2018,February,2018-02-20,663,56,4,340,13155,0,59
Wednesday,2018,February,2018-02-21,707,31,15,379,13101,0,60
Thursday,2018,February,2018-02-22,1199,43,9,0,9747,0,59
